笑,11
ます,11
#,11
3,12
ない,13
てる,14
する,14
とか,14
_,15
(,15
な,15
),17
か,18
？,18
って,18
ー,19
から,20
と,22
！,22
http,23
は,24
://,24
co,24
t,24
も,25
.,25
/,29
を,30
、,34
が,35
で,37
@,40
し,40
た,48
に,58
て,59
の,64
。,72
